year,keyword,count,per_10k_chinese_chars
2022,光伏,122,55.687
2022,组件,82,37.429
2022,电池,100,45.645
2022,晶硅,65,29.67
2022,硅料,2,0.913
2022,饲料,115,52.492
2022,绿色能源,4,1.826
2022,价格,26,11.868
2022,成本,52,23.736
2022,现金流,10,4.565
2023,光伏,129,54.887
2023,组件,89,37.868
2023,电池,94,39.995
2023,晶硅,63,26.805
2023,硅料,1,0.425
2023,饲料,150,63.822
2023,绿色能源,6,2.553
2023,价格,29,12.339
2023,成本,57,24.252
2023,现金流,11,4.68
2024,光伏,131,55.868
2024,组件,66,28.147
2024,电池,72,30.706
2024,晶硅,53,22.603
2024,硅料,2,0.853
2024,饲料,136,58.001
2024,绿色能源,6,2.559
2024,价格,32,13.647
2024,成本,66,28.147
2024,现金流,12,5.118
