company,rank,word,count
通威股份,1,光伏,131
通威股份,2,企业,94
通威股份,3,饲料,92
通威股份,4,技术,85
通威股份,5,全球,64
通威股份,6,养殖,62
通威股份,7,组件,61
通威股份,8,研发,59
通威股份,9,成本,58
通威股份,10,产业,55
通威股份,11,风险,52
通威股份,12,产能,46
通威股份,13,增长,45
通威股份,14,期内,45
通威股份,15,优势,40
通威股份,16,项目,40
通威股份,17,电池,38
通威股份,18,产业链,37
通威股份,19,规模,37
通威股份,20,模式,31
通威股份,21,高纯晶硅,31
通威股份,22,投资,30
通威股份,23,采购,29
通威股份,24,分析,28
通威股份,25,核心,27
通威股份,26,说明,27
通威股份,27,环节,26
通威股份,28,能源,25
通威股份,29,竞争,25
通威股份,30,全年,25
隆基绿能,1,光伏,112
隆基绿能,2,技术,81
隆基绿能,3,组件,73
隆基绿能,4,全球,54
隆基绿能,5,电池,46
隆基绿能,6,硅片,37
隆基绿能,7,研发,37
隆基绿能,8,项目,32
隆基绿能,9,BC,31
隆基绿能,10,产能,30
隆基绿能,11,分析,28
隆基绿能,12,说明,28
隆基绿能,13,能力,27
隆基绿能,14,成本,27
隆基绿能,15,领先,27
隆基绿能,16,企业,27
隆基绿能,17,期内,26
隆基绿能,18,制造,25
隆基绿能,19,投资,25
隆基绿能,20,HPBC,24
隆基绿能,21,价值,22
隆基绿能,22,营业,22
隆基绿能,23,优势,21
隆基绿能,24,效率,21
隆基绿能,25,量产,21
隆基绿能,26,场景,20
隆基绿能,27,下降,20
隆基绿能,28,变动,20
隆基绿能,29,高效,19
隆基绿能,30,运营,19
