year,word,count,per_10k_chinese_chars
2022,风险,40,18.258
2022,不确定,2,0.913
2022,挑战,2,0.913
2022,压力,12,5.477
2022,下滑,0,0.0
2022,下降,12,5.477
2022,亏损,0,0.0
2022,波动,14,6.39
2022,竞争,46,20.997
2022,贸易壁垒,3,1.369
2023,风险,55,23.401
2023,不确定,0,0.0
2023,挑战,4,1.702
2023,压力,5,2.127
2023,下滑,1,0.425
2023,下降,22,9.361
2023,亏损,5,2.127
2023,波动,20,8.51
2023,竞争,56,23.827
2023,贸易壁垒,2,0.851
2024,风险,54,23.03
2024,不确定,0,0.0
2024,挑战,2,0.853
2024,压力,8,3.412
2024,下滑,2,0.853
2024,下降,24,10.235
2024,亏损,6,2.559
2024,波动,17,7.25
2024,竞争,58,24.736
2024,贸易壁垒,4,1.706
