year,rank,word,tfidf
2022,1,光伏,0.335664
2022,2,企业,0.24487
2022,3,饲料,0.225611
2022,4,组件,0.214605
2022,5,技术,0.214605
2022,6,养殖,0.159578
2022,7,电池,0.159578
2022,8,产能,0.145821
2022,9,高纯晶硅,0.132065
2022,10,成本,0.123811
2022,11,全球,0.123811
2022,12,研发,0.123811
2022,13,产业链,0.121059
2022,14,项目,0.118308
2022,15,增长,0.107303
2022,16,规模,0.107303
2022,17,风险,0.104551
2022,18,太阳能电池,0.1018
2022,19,优势,0.1018
2022,20,万吨,0.1018
2023,1,光伏,0.333534
2023,2,饲料,0.26631
2023,3,技术,0.222356
2023,4,组件,0.217185
2023,5,产能,0.19133
2023,6,企业,0.186159
2023,7,养殖,0.178402
2023,8,全球,0.162889
2023,9,研发,0.139619
2023,10,风险,0.137034
2023,11,增长,0.129277
2023,12,电池,0.126691
2023,13,高纯晶硅,0.126691
2023,14,成本,0.124106
2023,15,期内,0.12152
2023,16,项目,0.116349
2023,17,万吨,0.103422
2023,18,产业链,0.103422
2023,19,优势,0.100836
2023,20,产业,0.100836
2024,1,光伏,0.346523
2024,2,企业,0.24865
2024,3,饲料,0.24336
2024,4,技术,0.224843
2024,5,全球,0.169294
2024,6,养殖,0.164003
2024,7,组件,0.161358
2024,8,研发,0.156068
2024,9,成本,0.153423
2024,10,产业,0.145487
2024,11,风险,0.137551
2024,12,产能,0.12168
2024,13,增长,0.119035
2024,14,期内,0.119035
2024,15,项目,0.105809
2024,16,优势,0.105809
2024,17,电池,0.100518
2024,18,规模,0.097873
2024,19,产业链,0.097873
2024,20,模式,0.082002
