year,rank,word,count
2022,1,光伏,122
2022,2,企业,89
2022,3,饲料,82
2022,4,技术,78
2022,5,组件,78
2022,6,养殖,58
2022,7,电池,58
2022,8,产能,53
2022,9,高纯晶硅,48
2022,10,全球,45
2022,11,成本,45
2022,12,研发,45
2022,13,产业链,44
2022,14,项目,43
2022,15,增长,39
2022,16,规模,39
2022,17,风险,38
2022,18,万吨,37
2022,19,优势,37
2022,20,太阳能电池,37
2023,1,光伏,129
2023,2,饲料,103
2023,3,技术,86
2023,4,组件,84
2023,5,产能,74
2023,6,企业,72
2023,7,养殖,69
2023,8,全球,63
2023,9,研发,54
2023,10,风险,53
2023,11,增长,50
2023,12,高纯晶硅,49
2023,13,电池,49
2023,14,成本,48
2023,15,期内,47
2023,16,项目,45
2023,17,产业链,40
2023,18,万吨,40
2023,19,产业,39
2023,20,优势,39
2024,1,光伏,131
2024,2,企业,94
2024,3,饲料,92
2024,4,技术,85
2024,5,全球,64
2024,6,养殖,62
2024,7,组件,61
2024,8,研发,59
2024,9,成本,58
2024,10,产业,55
2024,11,风险,52
2024,12,产能,46
2024,13,增长,45
2024,14,期内,45
2024,15,优势,40
2024,16,项目,40
2024,17,电池,38
2024,18,产业链,37
2024,19,规模,37
2024,20,模式,31
